location,location_name,season,year,week,epiweek,num_patients,wili,ili_plus,ili_plus_a,ili_plus_b
04,Arizona,2015/2016,2015,48,201548,23575,2.40085,6.452399999999999,6.452399999999999,0.0
04,Arizona,2015/2016,2015,43,201543,22358,1.80696,0.0,0.0,0.0
04,Arizona,2015/2016,2015,47,201547,18414,1.88987,3.5844,3.5844,0.0
04,Arizona,2015/2016,2015,42,201542,26529,1.49271,0.0,0.0,0.0
04,Arizona,2015/2016,2015,45,201545,24277,1.80418,0.0,0.0,0.0
04,Arizona,2015/2016,2015,44,201544,22159,1.87283,4.316,4.316,0.0
04,Arizona,2015/2016,2016,2,201602,24318,2.78806,104.27640000000001,89.42819999999999,14.916000000000002
04,Arizona,offseason,2016,29,201629,18939,0.844818,0.0,0.0,0.0
04,Arizona,2015/2016,2015,51,201551,15716,3.08603,6.208,6.208,0.0
04,Arizona,2015/2016,2015,50,201550,19571,2.41173,16.284000000000002,10.856,5.428
04,Arizona,2015/2016,2016,17,201617,20890,2.2786,21.324800000000003,7.0924,14.232400000000002
04,Arizona,2015/2016,2015,49,201549,21722,2.31562,13.9834,13.9834,0.0
04,Arizona,2015/2016,2015,41,201541,24881,1.44689,0.0,0.0,0.0
04,Arizona,offseason,2016,23,201623,23206,1.30139,0.0,0.0,0.0
04,Arizona,2015/2016,2015,46,201546,26933,1.84161,0.0,0.0,0.0
04,Arizona,2015/2016,2016,18,201618,19851,1.94952,22.755599999999998,0.0,22.755599999999998
04,Arizona,2015/2016,2016,15,201615,21167,2.80626,35.996399999999994,27.027,9.0288
04,Arizona,offseason,2016,22,201622,19919,1.19484,0.0,0.0,0.0
04,Arizona,2015/2016,2015,40,201540,23461,1.23609,0.0,0.0,0.0
04,Arizona,2015/2016,2016,5,201605,22420,3.97859,153.2456,142.274,10.9716
04,Arizona,2015/2016,2016,16,201616,21185,2.74251,88.4282,25.2735,63.1547
04,Arizona,offseason,2016,32,201632,16482,0.351899,0.0,0.0,0.0
04,Arizona,2015/2016,2016,1,201601,23246,2.77037,63.8848,58.5396,5.3452
04,Arizona,2015/2016,2015,52,201552,15227,2.59408,18.169999999999998,13.627500000000001,4.5424999999999995
04,Arizona,2015/2016,2016,13,201613,18341,2.8788,22.4928,11.2464,11.2464
04,Arizona,offseason,2016,38,201638,14986,0.560523,0.0,0.0,0.0
04,Arizona,offseason,2016,24,201624,22386,1.3982,0.0,0.0,0.0
04,Arizona,2015/2016,2016,12,201612,23657,3.08999,26.0967,13.0849,13.0849
04,Arizona,2015/2016,2016,4,201604,22843,3.40586,98.10579999999999,84.9576,13.0704
04,Arizona,2015/2016,2016,14,201614,22301,2.73979,29.816799999999997,14.908399999999999,14.908399999999999
04,Arizona,offseason,2016,36,201636,12452,0.522004,0.0,0.0,0.0
04,Arizona,offseason,2016,31,201631,19494,0.769468,0.0,0.0,0.0
04,Arizona,2015/2016,2016,11,201611,22723,3.57787,116.1777,70.9749,45.202799999999996
04,Arizona,2015/2016,2016,3,201603,22017,3.02494,156.31019999999998,129.1374,27.172800000000002
04,Arizona,2015/2016,2016,6,201606,25022,5.18344,317.8947,279.7629,38.1318
04,Arizona,offseason,2016,25,201625,18798,0.845835,0.0,0.0,0.0
04,Arizona,2015/2016,2016,10,201610,19762,4.14432,144.2259,138.41099999999997,5.733
04,Arizona,2015/2016,2016,8,201608,21943,5.38213,247.18329999999997,230.6493,16.534
04,Arizona,2015/2016,2016,19,201619,19643,1.8429,0.0,0.0,0.0
04,Arizona,2015/2016,2016,20,201620,19348,1.87616,7.5504,0.0,7.5504
04,Arizona,offseason,2016,21,201621,21928,1.36355,4.2757000000000005,0.0,4.2757000000000005
04,Arizona,offseason,2016,28,201628,18462,0.79623,0.0,0.0,0.0
04,Arizona,2015/2016,2016,9,201609,24920,5.02006,178.7679,156.375,22.392899999999997
04,Arizona,2015/2016,2016,7,201607,22825,5.17415,196.8727,179.98440000000002,16.8883
04,Arizona,offseason,2016,33,201633,17204,0.465008,0.0,0.0,0.0
04,Arizona,offseason,2016,37,201637,15246,0.485373,0.0,0.0,0.0
04,Arizona,offseason,2016,35,201635,10587,0.944555,0.0,0.0,0.0
04,Arizona,offseason,2016,39,201639,15296,0.686454,0.0,0.0,0.0
04,Arizona,offseason,2016,30,201630,18277,0.749576,0.0,0.0,0.0
04,Arizona,offseason,2016,27,201627,14840,0.936658,0.0,0.0,0.0
04,Arizona,offseason,2016,34,201634,16122,0.601662,0.0,0.0,0.0
04,Arizona,offseason,2016,26,201626,15861,1.04029,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,20,201620,2131,1.45472,0.0,0.0,0.0
